gene_symbol,protein_function,gbm_evidence,subtype_link,druggable,cancer_relevance,verdict,sources
PRKAR1A,"Type I-alpha regulatory subunit of protein kinase A, which binds and holds the PKA catalytic subunits inactive until cAMP binding releases them; it is therefore the principal brake on cAMP/PKA signalling.","Essentially none direct. The only glioma-adjacent finding is Guo et al. (PMID 30536597), 'Glioma exosomes mediate the expansion and function of myeloid-derived suppressor cells through microRNA-29a/Hbp1 and microRNA-92a/Prkar1a pathways' - here glioma-derived exosomal miR-92a suppresses Prkar1a in MYELOID cells (MDSCs), not in the tumour cells, so this is a microenvironmental observation rather than evidence of PRKAR1A as a tumour-intrinsic glioma gene. No study of PRKAR1A expression, mutation or dependency in GBM tumour cells was found. Source: https://pubmed.ncbi.nlm.nih.gov/30536597/","INT is explicitly the least well-defined of the six subtypes and has no single dominant programme, so subtype-specificity is not really assessable here. Programme assignment: PRKAR1A belongs to cAMP/PKA second-messenger signalling, a housekeeping-adjacent regulatory programme, not to any recognised GBM lineage or immune module. There is no evidence it is INT-specific. Of note, Prkar1a deletion has been shown to drive a MESENCHYMAL-to-epithelial transition (PMC3129546), which if anything argues against a mesenchymal assignment and is a weak, indirect point in favour of it not belonging in MES.","FLAG - WRONG THERAPEUTIC DIRECTION. PRKAR1A is a well-established TUMOUR SUPPRESSOR: germline inactivating mutations cause Carney complex (GeneReviews), and Sandrini et al. (Genes Chromosomes Cancer 2002) describe it explicitly as 'Regulatory subunit type I-alpha of protein kinase A (PRKAR1A): A tumor-suppressor gene for sporadic thyroid cancer'; an expressed PRKAR1A mutation is associated with aggressive tumours (Cancer Res 2008). Inhibiting PRKAR1A would RELEASE PKA catalytic activity and phenocopy the oncogenic lesion, so an inhibitor would be actively counterproductive. There are cAMP-analogue PKA modulators and PKA catalytic-subunit inhibitors (H-89, PKI peptide) as research tools only - none approved, and none of them target PRKAR1A in the correct direction. Approval status: none known.","Yes, as a tumour suppressor. Loss-of-function underlies Carney complex (myxomas, primary pigmented nodular adrenocortical disease, schwannomas, thyroid and testicular tumours); PRKAR1A mutations also occur in sporadic cardiac myxomas and sporadic thyroid cancer. The oncogenic driver in this axis is loss of PRKAR1A, i.e. PKA hyperactivity.",WEAK,"['https://pubmed.ncbi.nlm.nih.gov/30536597/', 'https://onlinelibrary.wiley.com/doi/abs/10.1002/gcc.10112', 'https://www.ncbi.nlm.nih.gov/books/NBK1286/', 'https://aacrjournals.org/cancerres/article/68/9/3133/543158/Protein-Kinase-A-Effects-of-an-Expressed-PRKAR1A', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC3129546/', 'https://link.springer.com/article/10.1007/s00428-025-04049-x']"
PARN,"Poly(A)-specific ribonuclease, a 3'-to-5' deadenylase that trims mRNA poly(A) tails and performs the 3'-end maturation of non-coding RNAs including the telomerase RNA component TERC.","Yes, strong and direct. Yin J, Seo Y, Rhim J, et al. 'Cross-talk between PARN and EGFR-STAT3 Signaling Facilitates Self-Renewal and Proliferation of Glioblastoma Stem Cells.' Cancer Research 2023;83(22):3693-3709 (PMID 37747775). Key findings: 'A positive feedback loop comprising PARN and EGFR-STAT3 signaling supports self-renewal and proliferation of glioblastoma stem cells'; PARN expression correlated with poor patient survival, and 'PARN depletion in GSCs reduced infiltration and prolonged survival' in vivo. The authors propose the network as a therapeutic target in GBM. Source: https://pubmed.ncbi.nlm.nih.gov/37747775/","INT has no single defining programme, so subtype-specificity is largely not assessable. Programme assignment: PARN belongs to RNA 3'-end processing / mRNA turnover and telomere-maintenance (TERC maturation). It is NOT INT-specific - notably, the published GBM work ties PARN to EGFR-STAT3 signalling and stem-cell self-renewal, which are programmes conventionally associated with the classical (EGFR-amplified) and mesenchymal/STAT3 axes rather than with an intermediate state. So the gene has real GBM credentials but its assignment to INT specifically is not supported by evidence; it would be equally or better placed elsewhere.",Weakly. No approved or clinical-stage PARN inhibitor was found. Nucleotide-analogue and small-molecule PARN inhibitors exist only as early research tools in the enzymology literature; the GBM study used genetic depletion. Approval status: preclinical / none known.,"Moderate, and directionally mixed. PARN biallelic loss-of-function causes dyskeratosis congenita and pulmonary fibrosis via impaired TERC 3'-end maturation and telomere shortening (Nat Genet 2015, JCI 2015), i.e. germline loss is pathogenic. In somatic cancer the GBM stem-cell paper above is the clearest oncogenic-dependency evidence.",MODERATE,"['https://pubmed.ncbi.nlm.nih.gov/37747775/', 'https://www.nature.com/articles/ng.3423', 'https://www.jci.org/articles/view/78963', 'https://pubmed.ncbi.nlm.nih.gov/25893599/']"
LARP1,"La-related protein 1, an RNA-binding protein and major mTORC1 substrate that binds the 5' terminal oligopyrimidine (TOP) motif and cap of ribosomal-protein and translation-factor mRNAs, acting as a phosphorylation-controlled switch that represses or licenses their translation.","None found. Targeted searches for LARP1 in glioma/glioblastoma returned no primary study of LARP1 itself in glioma. The closest hits are (a) a different family member - 'Identification of RNA-Binding Protein LARP4B as a Tumor Suppressor in Glioma' (Cancer Res 2016), which is LARP4B not LARP1 and points in the opposite direction, and (b) an RSK1/RSK2 translatome study in glioblastoma cells (Neuro-Oncology Advances 2025) in which LARP1 appears as pathway context rather than as the studied target. Reported honestly as no GBM-specific evidence.","INT has no single defining programme, so subtype-specificity is not really assessable. Programme assignment: LARP1 belongs to the mTORC1-controlled cap-dependent translation / ribosome-biogenesis programme. This is a general growth programme present across all GBM subtypes and is in no way INT-specific; there is no published basis for assigning it to an intermediate state rather than to any other.","Indirectly. No selective LARP1 inhibitor was found. The tractable node is upstream: mTOR kinase inhibitors (everolimus, temsirolimus - approved in other oncology indications; rapalogs have been trialled in GBM without success) and mTOR-kinase inhibitors control LARP1 phosphorylation. Approval status for direct LARP1 targeting: none known.","Yes, reasonably solid. 'LARP1 post-transcriptionally regulates mTOR and contributes to cancer progression' (Oncogene 2015); 'The RNA-binding protein LARP1 is a post-transcriptional regulator of survival and tumorigenesis in ovarian cancer' (PMID 26717985); 'Overexpression of LARP1 predicts poor prognosis of colorectal cancer and is expected to be a potential therapeutic target' (Tumor Biology 2016); more recent work implicates it in AML translation/metabolism and breast cancer prognosis and immune microenvironment.",MODERATE,"['https://www.nature.com/articles/onc2014428', 'https://pubmed.ncbi.nlm.nih.gov/26717985/', 'https://link.springer.com/article/10.1007/s13277-016-5332-3', 'https://elifesciences.org/articles/25237', 'https://academic.oup.com/nar/article/49/6/3461/6062774', 'https://aacrjournals.org/cancerres/article/76/8/2254/617687/Identification-of-RNA-Binding-Protein-LARP4B-as-a', 'https://www.proteinatlas.org/ENSG00000155506-LARP1/cancer']"
POT1,"Protection of telomeres 1, the single-stranded-DNA-binding subunit of the six-protein shelterin complex that caps the telomeric 3' overhang, suppresses the ATR-dependent DNA damage response at chromosome ends, and restricts telomerase access.","Yes, and it is glioma-specific germline evidence. Bainbridge MN et al. (Gliogene Consortium), 'Germline Mutations in Shelterin Complex Genes Are Associated With Familial Glioma', JNCI 2015;107(1):dju384 (PMID 25482530), identified germline POT1 mutations segregating with disease across familial glioma pedigrees; a companion commentary, 'POT1: a genetic link for familial glioma' (PMID 25524796), makes the association explicit. GeneReviews 'POT1 Tumor Predisposition' lists gliomas among the core tumours of the syndrome: 'Multiple cutaneous melanomas, sarcomas (particularly cardiac angiosarcomas), chronic lymphocytic leukemia (CLL), and gliomas.' Sources: https://academic.oup.com/jnci/article-abstract/107/1/dju384/912413 ; https://pubmed.ncbi.nlm.nih.gov/25482530/ ; https://www.ncbi.nlm.nih.gov/books/NBK563529/","INT has no single defining programme, so subtype-specificity is not assessable. Programme assignment: POT1 belongs to telomere maintenance / genome stability. Critically, the glioma evidence is GERMLINE PREDISPOSITION, not subtype-restricted somatic biology, and nothing in the literature links POT1 to an intermediate or transitional GBM cell state. It is not INT-specific in any documented sense.","FLAG - WRONG THERAPEUTIC DIRECTION. POT1 is a TUMOUR SUPPRESSOR. GeneReviews states the mechanism explicitly: 'Loss of function. Haploinsufficiency is the proposed underlying mechanism for overall telomere lengthening and the resulting fragile and dysfunctional telomeres.' Pathogenic germline variants are loss-of-function and predispose to glioma, melanoma, angiosarcoma and CLL. Inhibiting POT1 would therefore phenocopy the cancer-predisposing lesion and is the wrong therapeutic direction. No POT1 inhibitor is known; the plausible therapeutic angle in POT1-mutant tumours is synthetic-lethal exploitation of telomere dysfunction (e.g. ATR inhibitors), which is a separate hypothesis and not POT1 targeting. Approval status: none known.","Extensive, as a predisposition gene. POT1 germline variants define a hereditary cancer syndrome spanning melanoma, cardiac and non-cardiac angiosarcoma, CLL, glioma, thyroid cancer and others; somatic POT1 mutations recur in CLL and angiosarcoma. A subclass of cancer-associated POT1 mutations actively elongates telomeres (PMID 40015989).",MODERATE,"['https://academic.oup.com/jnci/article-abstract/107/1/dju384/912413', 'https://pubmed.ncbi.nlm.nih.gov/25482530/', 'https://pubmed.ncbi.nlm.nih.gov/25524796/', 'https://www.ncbi.nlm.nih.gov/books/NBK563529/', 'https://www.nature.com/articles/s41431-024-01611-0', 'https://pubmed.ncbi.nlm.nih.gov/40015989/', 'https://pubmed.ncbi.nlm.nih.gov/26014050/']"
ODR4,"odr-4 GPCR localization factor homolog (formerly C1orf27), a membrane-associated accessory protein predicted to be involved in protein localization, specifically trafficking of certain G-protein-coupled receptors (notably odorant receptors) to the cell surface.",None found. No glioma or glioblastoma literature on ODR4 exists. The NCBI Gene record carries only predicted annotations - 'Predicted to be involved in protein localization' and 'Predicted to be located in membrane' - with no cancer associations listed; its only disease cross-reference is to the ALS Online Database. Source: https://www.ncbi.nlm.nih.gov/gene/54953,"None found. INT has no single defining programme, so subtype-specificity is not assessable, but here there is not even a programme to assign: ODR4 belongs to GPCR biogenesis/trafficking, which has no documented connection to any GBM transcriptional subtype. It is not INT-specific and is not linked to any GBM programme at all. Its presence on a target list is most likely a statistical artefact of the selection method rather than a biological signal.","None known. No inhibitor, drug or tool compound targeting ODR4 was found. Approval status: none known. There is no reported structure-guided or chemical-biology programme on this protein.","None found. Searches returned only generic database entries (Human Protein Atlas expression summaries, a COSMIC somatic-mutation page listing passenger-level mutations) with no functional cancer study. ODR4 is essentially unstudied in oncology.",NOVEL,"['https://www.ncbi.nlm.nih.gov/gene/54953', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODR4', 'https://omim.org/entry/609335', 'https://www.proteinatlas.org/ENSG00000157181-ODR4/cancer', 'https://cancer.sanger.ac.uk/cosmic/gene/analysis?ln=ODR4']"
APC,"Adenomatous polyposis coli, a large scaffold protein that forms the beta-catenin destruction complex with AXIN, GSK3beta and CK1 to drive beta-catenin phosphorylation and degradation, thereby switching off canonical Wnt signalling; it also binds microtubules and regulates mitotic spindle and cell migration.","Weak, and importantly NEGATIVE for the specific GBM link. Turcot syndrome is the classic APC-brain-tumour association, but the tumour type matters: StatPearls states 'Medulloblastomas are associated with APC gene mutations', whereas 'Glioblastomas are associated with MMR gene mutations, specifically, in the hMLH1 DNA mismatch repair gene'. In other words, APC germline mutation (Turcot type 2) predisposes to MEDULLOBLASTOMA, and the glioblastoma arm of Turcot syndrome (type 1) is driven by mismatch-repair genes, NOT APC. Somatic APC mutation is not a recurrent event in adult GBM. Wnt/beta-catenin signalling is broadly implicated in glioma progression (e.g. 'Wnt3a mediated activation of Wnt/beta-catenin signaling promotes tumor progression in glioblastoma'), but that is pathway-level evidence, not APC-level. Sources: https://www.ncbi.nlm.nih.gov/books/NBK534782/ ; https://www.sciencedirect.com/science/article/abs/pii/S104474311300002X","None found, and there is a MISMATCH on two counts. First, INT has no single defining programme so subtype-specificity is not assessable; APC's programme is canonical Wnt/beta-catenin regulation, with no evidence of enrichment in an intermediate GBM state. Second and more seriously, the GBM-relevant Turcot arm is mismatch-repair-driven, so assigning APC to a glioblastoma target list on the strength of the Turcot association would be a misattribution.","FLAG - WRONG THERAPEUTIC DIRECTION. APC is one of the archetypal TUMOUR SUPPRESSORS. It functions to DEGRADE beta-catenin and switch OFF Wnt signalling ('The APC tumor suppressor counteracts beta-catenin activation and H3K4 methylation at Wnt target genes', PMID 16510874); biallelic loss causes familial adenomatous polyposis and initiates the majority of sporadic colorectal cancers. Inhibiting APC would ACTIVATE Wnt/beta-catenin signalling and is therefore oncogenic, not therapeutic. No APC inhibitor exists and none should be sought. The correct direction in APC-deficient tumours is inhibition of downstream Wnt output (tankyrase inhibitors, porcupine inhibitors, beta-catenin/TCF disruptors) - all preclinical or early clinical, none approved. Approval status for APC itself: none known, and inhibition is contraindicated in principle.","Extensive, as a tumour suppressor. Germline APC loss causes familial adenomatous polyposis and Turcot syndrome type 2; somatic biallelic APC inactivation is the initiating event in roughly 80 percent of sporadic colorectal cancers and is also found in desmoid tumours and hepatoblastoma.",WEAK,"['https://www.ncbi.nlm.nih.gov/books/NBK534782/', 'https://pubmed.ncbi.nlm.nih.gov/7515658/', 'https://www.nejm.org/doi/full/10.1056/NEJM199503303321302', 'https://pubmed.ncbi.nlm.nih.gov/16510874/', 'https://www.sciencedirect.com/science/article/abs/pii/S104474311300002X', 'https://cgp.iiarjournals.org/content/13/1/31']"
SEPSECS,"O-phosphoseryl-tRNA:selenocysteinyl-tRNA synthase, the terminal enzyme of selenocysteine biosynthesis, which converts O-phosphoseryl-tRNA(Sec) into selenocysteinyl-tRNA(Sec) and is therefore required for synthesis of all selenoproteins (including GPX4 and the thioredoxin reductases).","None found. No glioma or glioblastoma study of SEPSECS was located. The Atlas of Genetics and Cytogenetics in Oncology entry for SEPSECS explicitly classifies it as a 'Non-annotated gene' with respect to cancer and flags its content as 'Preliminary data'; its cited references concern neurological disease (pontocerebellar hypoplasia type 2D, early-onset epileptic encephalopathy, progressive cerebellar atrophy) rather than malignancy. Source: https://atlasgeneticsoncology.org/gene/56393/sepsecs","None found. INT has no single defining programme, so subtype-specificity is not assessable; SEPSECS belongs to selenocysteine/selenoprotein biosynthesis and redox-homeostasis metabolism, with no documented link to any GBM transcriptional subtype and no basis for calling it INT-specific.","None known specific to SEPSECS. No inhibitor, drug or tool compound targeting SEPSECS was confirmed. Approval status: none known. Adjacent selenoprotein-pathway targets are being explored (e.g. GPX4 inhibitors such as RSL3 and ML210 for ferroptosis induction, and auranofin against thioredoxin reductase), but these act on downstream selenoproteins, not on SEPSECS itself, and should not be credited to this gene.","Minimal and only by pathway association. The selenocysteine machinery has cancer relevance - a sibling component, SEPHS2, is over-expressed in triple-negative breast cancer, and 'Selenoproteins and tRNA-Sec: regulators of cancer redox homeostasis' reviews the pathway's role in tumour redox balance - but no primary evidence implicates SEPSECS itself as a cancer gene or dependency.",NOVEL,"['https://atlasgeneticsoncology.org/gene/56393/sepsecs', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10843386/', 'https://www.nature.com/articles/s41598-019-52718-0', 'https://academic.oup.com/nar/article/52/21/13368/7816863', 'https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPSECS']"
ZFP36L1,"Zinc finger protein 36 like 1 (BRF1/TIS11b), a tristetraprolin-family CCCH tandem zinc-finger RNA-binding protein that binds AU-rich elements in target mRNA 3' UTRs and recruits deadenylases to trigger their degradation.","None found for ZFP36L1 itself. The glioblastoma paper in this family concerns the PARALOG ZFP36/TTP - 'ZFP36 expression impairs glioblastoma cell lines viability and invasiveness by targeting multiple signal transduction pathways' (Cell Cycle 2012, PMID 22544323) - which is a different gene and should not be credited to ZFP36L1. Reported honestly as no ZFP36L1-specific GBM evidence.","None found, with a directional caveat. INT has no single defining programme so subtype-specificity is not assessable; ZFP36L1 belongs to post-transcriptional mRNA-decay control of inflammatory, hypoxia and cell-cycle transcripts. Note that this programme is if anything MES-flavoured (AU-rich-element control of inflammatory cytokines) rather than intermediate, so the INT assignment is not supported. Additionally, the paralog data in GBM show ZFP36-family activity SUPPRESSES viability and invasiveness, i.e. the family acts as a brake.","None known, and inhibition would likely be the wrong direction. No inhibitor, drug or tool compound targeting ZFP36L1 was found. Approval status: none known. RNA-binding proteins of this class remain largely chemically intractable, and since the published role is tumour-suppressive, restoration rather than inhibition would be the rational direction.","Yes, and predominantly tumour-suppressive. 'RNA-Binding Protein ZFP36L1 Suppresses Hypoxia and Cell-Cycle Signaling' (Cancer Research 2020, PMID 31551365) establishes a growth-restraining role; the tristetraprolin family is reviewed as a group of tumour suppressors in 'The Tristetraprolin Family of RNA-Binding Proteins in Cancer' (Cancers 2020). ZFP36L1 also has an established role in lymphocyte development.",WEAK,"['https://aacrjournals.org/cancerres/article/80/2/219/645796/RNA-Binding-Protein-ZFP36L1-Suppresses-Hypoxia-and', 'https://pubmed.ncbi.nlm.nih.gov/31551365/', 'https://www.mdpi.com/2072-6694/12/6/1539', 'https://pubmed.ncbi.nlm.nih.gov/22544323/', 'https://www.tandfonline.com/doi/full/10.4161/cc.20309']"
SEC62,Endoplasmic reticulum membrane protein of the Sec61 translocon accessory complex (with Sec63) that mediates post-translational protein translocation into the ER and contributes to ER calcium leakage and recovery from ER stress (recovER-phagy).,"None found. Targeted searches returned no primary study of SEC62 in glioma or glioblastoma. The Human Protein Atlas lists SEC62 as prognostic only in head and neck (unfavourable), ovarian (unfavourable), pancreatic (unfavourable) and renal (favourable) cancer, and for glioblastoma reports the survival association as 'Non-significant'; protein staining shows only that 'A few gliomas ... displayed strong positivity'. Note the frequently co-retrieved GBM papers concern SEC61G, a different gene ('SEC61G assists EGFR-amplified glioblastoma to evade immune elimination', PNAS 2023) - that evidence must not be credited to SEC62. Sources: http://www.proteinatlas.org/ENSG00000008952-SEC62/pathology/glioma ; https://www.pnas.org/doi/10.1073/pnas.2303400120","None found. INT has no single defining programme, so subtype-specificity is not assessable; SEC62 belongs to ER protein translocation, ER stress tolerance and calcium homeostasis. There is no published link to any GBM subtype and no basis for calling it INT-specific.","Partially, tool-compound level. Trifluoperazine, a calmodulin antagonist and approved antipsychotic, is reported to antagonise Sec62 function: it 'phenocopied the effect of SEC62-targeting siRNAs' by suppressing stress tolerance and migratory potential in SEC62-overexpressing tumour cells (Frontiers in Physiology 2022). Mycalamide A and related compounds inhibit the Sec61 translocon more broadly. Approval status: trifluoperazine is approved as an antipsychotic but NOT approved or in trials for this indication; SEC62 targeting is preclinical.","Yes, reasonably well developed. SEC62 is amplified at 3q26 and over-expressed in prostate, non-small cell lung, thyroid, hepatocellular, breast, head and neck, cervical, ovarian, gastric, vulvar cancer and melanoma; 'Silencing of the SEC62 gene inhibits migratory and invasive potential of various tumor cells' (PMID 20669223) establishes a functional pro-migratory role.",MODERATE,"['http://www.proteinatlas.org/ENSG00000008952-SEC62/pathology/glioma', 'https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2022.1014271/full', 'https://pubmed.ncbi.nlm.nih.gov/20669223/', 'https://www.nature.com/articles/sigtrans20172', 'https://www.pnas.org/doi/10.1073/pnas.2303400120', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC8657602/']"
JAZF1,"JAZF zinc finger 1 (TIP27), a nuclear zinc-finger protein that acts as a transcriptional corepressor of the orphan nuclear receptor NR2C2/TR4 and has reported roles in lipid and glucose metabolism.","None found. Targeted searches for JAZF1 in glioma/glioblastoma returned no primary study. A review of gene fusions in malignant glioma was retrieved but does not establish JAZF1 fusions in glioma; the Human Protein Atlas cancer page provides expression data only, with no glioma prognostic claim. Reported honestly as no GBM evidence.","None found. INT has no single defining programme, so subtype-specificity is not assessable; JAZF1 belongs to nuclear-receptor transcriptional corepression and metabolic regulation. There is no documented connection to any GBM subtype and no basis for calling it INT-specific.","None known. No inhibitor, drug or tool compound targeting JAZF1 was confirmed. Approval status: none known. One indirect angle exists - 'JAZF1: A Metabolic Regulator of Sensitivity to a Polyamine-Targeted Therapy' (Mol Cancer Res 2023) positions JAZF1 as a biomarker of response to polyamine-pathway therapy rather than as a direct drug target.","Yes, but confined to a specific sarcoma context. JAZF1 is the 5' partner of the recurrent JAZF1-SUZ12 (JJAZ1) fusion that defines low-grade endometrial stromal sarcoma - 'Frequent fusion of the JAZF1 and JJAZ1 genes in endometrial stromal tumors' (PNAS 2001) - with JAZF1-PHF1 and other variants also described. This is a fusion-driven mechanism in a mesenchymal uterine tumour and does not transfer to wild-type JAZF1 in glioma. GWAS also link JAZF1 to type 2 diabetes and prostate cancer risk.",WEAK,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC33471/', 'https://link.springer.com/article/10.1186/s13023-016-0400-8', 'https://pubmed.ncbi.nlm.nih.gov/16049311/', 'https://atlasgeneticsoncology.org/gene/41036/jazf1-(jazf-zinc-finger-1)', 'https://aacrjournals.org/mcr/article/21/1/24/711795/JAZF1-A-Metabolic-Regulator-of-Sensitivity-to-a', 'https://www.proteinatlas.org/ENSG00000153814-JAZF1/cancer']"
RPL41,"eL41, the smallest known ribosomal protein (25 amino acids), a 60S subunit component at the intersubunit bridge of the 80S ribosome, which also destabilises the transcription factor ATF4 outside the ribosome.","None found. A PubMed query for RPL41 AND (glioma OR glioblastoma OR brain) returns 5 records, none about RPL41 biology in glioma. Human Protein Atlas lists RPL41 as prognostic only in renal cancer.","MISMATCH for MTC. RPL41 is a CYTOPLASMIC 80S ribosome component, not a mitoribosomal protein (those are the MRPL/MRPS families), and no publication links it to mitochondria, the respiratory chain or OXPHOS.","No inhibitor exists, and inhibition is the wrong modality: the published agent is the RPL41 peptide used as a REPLACEMENT, which enhanced carboplatin's antitumour effect in retinoblastoma. Approval status: preclinical peptide only.","Points the OPPOSITE way from an oncogenic dependency. RPL41 is repeatedly described as a TUMOUR SUPPRESSOR - deleted in ~59% of tumour cell lines and downregulated in ~75% of primary breast cancers (Neoplasia 2010). And it is NOT an escape from the pan-essential trap: a 2025 in vivo single-cell CRISPR screen found that, contrary to its prior classification as nonessential, RPL41 is essential for cellular proliferation and strongly impairs protein synthesis in NORMAL mouse epidermis.",WEAK,"['https://pubmed.ncbi.nlm.nih.gov/20234822/', 'https://www.biorxiv.org/content/10.1101/2025.03.17.643322v1', 'https://www.proteinatlas.org/ENSG00000229117-RPL41/pathology', 'https://pubmed.ncbi.nlm.nih.gov/32783256/']"
COIL,"Coilin, the scaffold and marker protein of Cajal bodies - nuclear membraneless organelles where snRNPs, snoRNPs and telomerase are assembled and modified.","None found. A PubMed query for coilin AND (glioma OR glioblastoma) returns exactly one record, in which coilin appears only as an incidental co-immunoprecipitation partner. Human Protein Atlas marks glioblastoma protein data non-significant.","PARTIAL, and only through the proliferation half of PN biology: coilin phosphomutants reduce cell proliferation, and COIL knockdown causes G2/M arrest in hepatocellular carcinoma. The neural-progenitor link is ambiguous rather than supportive, and no published link exists between coilin and any proneural glioma programme.","None known. No approved drug, no clinical trial and no small-molecule inhibitor or tool compound targeting coilin; it is an intrinsically disordered phase-separation scaffold with no enzymatic active site. Coilin-knockout mice survive to adulthood, so loss is tolerated by many normal tissues.","Modest but real, entirely outside the brain: high COIL expression predicts poorer overall survival in hepatocellular carcinoma and is an independent prognostic predictor; coilin is required for UHMK1-driven 5-FU chemoresistance in colon cancer; it is recruited to DNA damage sites, giving a plausible radio-sensitisation rationale.",WEAK,"['https://www.proteinatlas.org/ENSG00000121058-COIL/pathology', 'https://www.dovepress.com/coilin-affects-the-prognosis-of-hepatocellular-carcinoma-through-cell--peer-reviewed-fulltext-article-JHC', 'https://link.springer.com/article/10.1186/s12964-022-00820-8']"
